平成21年度自動車騒音定期監視結果（平成22年9月2日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076361.html
平成21年度新幹線鉄道騒音・振動定期監視結果（平成21年12月3日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076571.html
平成22、23年度新幹線鉄道騒音・振動実態監視および平成23年度新幹線鉄道騒音・振動定期監視結果（平成23年12月22日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076580.html
平成22年度航空機騒音定期監視結果（平成23年9月2日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076781.html
平成22年度自動車騒音定期監視結果（平成23年9月2日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076363.html
平成22年度新幹線鉄道騒音・振動定期監視結果（平成23年1月31日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076568.html
平成23年度航空機騒音定期監視結果（平成24年9月4日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076768.html
平成23年度在来鉄道騒音・振動調査結果（平成24年3月30日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076581.html
平成23年度自動車騒音定期監視結果（平成24年9月4日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076365.html
平成24、25年度自動車騒音調査結果（平成26年9月4日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076367.html
平成24年度航空機騒音定期監視結果（平成25年6月11日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076782.html
平成24年度自動車騒音定期監視結果（平成25年8月30日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076366.html
平成24年度新幹線鉄道騒音・振動定期監視結果等（平成24年12月17日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076563.html
平成25年度航空機騒音定期監視結果（平成26年6月16日公表）,pdf,CC BY,環境局/地域環境対策部/大気環境対策課/交通環境対策係,環境,,http://www.city.nagoya.jp/kankyo/page/0000076765.html
